training_example_id,customer_id,merchant_id,amount,failure_category,payment_method,time_since_failure_min,customer_success_rate,customer_failure_rate,payment_method_success_rate,payment_method_failure_rate,previous_recovery_attempts,previous_recovery_successes,previous_recovery_failures,candidate_action,outcome
training_0169,cust_0081,merchant_035,520.43,INSUFFICIENT_FUNDS,CARD,868,0.8468,0.1120,0.5524,0.6855,4,2,1,RETRY,FAILURE
training_0170,cust_0143,merchant_040,937.76,UNKNOWN_FAILURE,WALLET,793,0.1281,0.5023,0.4343,0.6700,2,1,1,REMINDER,FAILURE
training_0171,cust_0162,merchant_033,272.04,INSUFFICIENT_FUNDS,WALLET,2153,0.3078,0.0509,0.3080,0.0987,4,0,0,RETRY,FAILURE
training_0172,cust_0050,merchant_030,707.74,UNKNOWN_FAILURE,WALLET,1371,0.7402,0.8455,0.2429,0.0681,3,0,3,RETRY,FAILURE
training_0173,cust_0195,merchant_039,175.43,UNKNOWN_FAILURE,CARD,1308,0.8099,0.3169,0.3478,0.3492,4,0,1,RETRY,FAILURE
training_0174,cust_0320,merchant_048,272.33,INSUFFICIENT_FUNDS,NETBANKING,903,0.1892,0.3609,0.4096,0.2673,1,1,0,REMINDER,FAILURE
training_0175,cust_0051,merchant_009,467.21,PAYMENT_METHOD_ERROR,WALLET,2795,0.3299,0.8761,0.8771,0.7307,4,3,0,RETRY,SUCCESS
training_0176,cust_0125,merchant_050,384.94,UNKNOWN_FAILURE,UPI,1549,0.5356,0.2551,0.2753,0.8851,2,1,0,REMINDER,FAILURE
training_0177,cust_0014,merchant_016,70.69,PAYMENT_METHOD_ERROR,NETBANKING,1943,0.5595,0.7978,0.4341,0.1607,5,0,0,RETRY,FAILURE
training_0178,cust_0112,merchant_026,233.08,INSUFFICIENT_FUNDS,WALLET,2679,0.7041,0.4082,0.4802,0.7734,2,1,1,REMINDER,FAILURE
training_0179,cust_0248,merchant_038,890.69,TEMPORARY_FAILURE,NETBANKING,2414,0.3767,0.4670,0.8265,0.2770,3,3,0,REMINDER,FAILURE
training_0180,cust_0135,merchant_028,875.63,TEMPORARY_FAILURE,WALLET,2056,0.8468,0.7767,0.3531,0.1426,2,1,1,RETRY,SUCCESS
training_0181,cust_0182,merchant_024,222.89,PAYMENT_METHOD_ERROR,CARD,88,0.9176,0.4779,0.6796,0.3236,4,1,3,RETRY,SUCCESS
training_0182,cust_0334,merchant_012,711.97,UNKNOWN_FAILURE,CARD,2252,0.3527,0.5273,0.5441,0.7854,2,1,1,RETRY,FAILURE
training_0183,cust_0299,merchant_002,27.77,PAYMENT_METHOD_ERROR,WALLET,1714,0.8951,0.1281,0.2947,0.8726,3,2,0,RETRY,FAILURE
training_0184,cust_0138,merchant_027,856.97,TEMPORARY_FAILURE,NETBANKING,1332,0.8985,0.2844,0.8262,0.2841,1,0,1,RETRY,SUCCESS
training_0185,cust_0263,merchant_042,183.50,TEMPORARY_FAILURE,WALLET,1767,0.2611,0.1153,0.7317,0.3122,0,0,0,REMINDER,FAILURE
training_0186,cust_0288,merchant_037,683.48,INSUFFICIENT_FUNDS,NETBANKING,26,0.5563,0.0627,0.9282,0.4778,0,0,0,RETRY,SUCCESS
training_0187,cust_0319,merchant_023,224.03,PAYMENT_METHOD_ERROR,CARD,1331,0.4822,0.3526,0.1221,0.8995,5,0,5,RETRY,FAILURE
training_0188,cust_0017,merchant_006,951.53,PAYMENT_METHOD_ERROR,CARD,1661,0.4457,0.1312,0.8844,0.5822,2,1,0,RETRY,FAILURE
training_0189,cust_0062,merchant_024,340.23,PAYMENT_METHOD_ERROR,CARD,2687,0.1385,0.4535,0.5435,0.2893,3,1,1,RETRY,FAILURE
training_0190,cust_0289,merchant_032,549.61,TEMPORARY_FAILURE,WALLET,1490,0.6730,0.1203,0.5395,0.3342,5,1,2,RETRY,SUCCESS
training_0191,cust_0069,merchant_014,999.48,PAYMENT_METHOD_ERROR,NETBANKING,1935,0.7827,0.8707,0.3740,0.1242,4,0,1,REMINDER,FAILURE
training_0192,cust_0042,merchant_040,863.05,PAYMENT_METHOD_ERROR,NETBANKING,522,0.5549,0.8162,0.7649,0.4170,2,1,1,RETRY,FAILURE
training_0193,cust_0112,merchant_026,432.23,UNKNOWN_FAILURE,CARD,70,0.4478,0.2054,0.5068,0.2564,2,0,0,REMINDER,FAILURE
training_0194,cust_0030,merchant_050,209.21,UNKNOWN_FAILURE,UPI,2322,0.3181,0.7233,0.4816,0.3802,5,0,3,REMINDER,SUCCESS
training_0195,cust_0308,merchant_005,369.89,TEMPORARY_FAILURE,NETBANKING,236,0.2722,0.8612,0.4463,0.4640,1,0,1,REMINDER,FAILURE
training_0196,cust_0179,merchant_043,454.87,UNKNOWN_FAILURE,CARD,2673,0.9418,0.0669,0.9147,0.6544,1,0,1,RETRY,FAILURE
training_0197,cust_0293,merchant_028,589.90,TEMPORARY_FAILURE,NETBANKING,2451,0.3945,0.5012,0.5066,0.2514,5,5,0,RETRY,FAILURE
training_0198,cust_0151,merchant_040,466.31,PAYMENT_METHOD_ERROR,WALLET,1304,0.4485,0.6000,0.4612,0.6360,0,0,0,RETRY,FAILURE
training_0199,cust_0103,merchant_023,310.84,INSUFFICIENT_FUNDS,UPI,1547,0.8246,0.1548,0.1530,0.1944,5,1,0,REMINDER,FAILURE
training_0200,cust_0145,merchant_043,815.74,PAYMENT_METHOD_ERROR,UPI,1047,0.2762,0.1822,0.4754,0.4448,3,2,0,RETRY,FAILURE
training_0201,cust_0044,merchant_025,733.99,TEMPORARY_FAILURE,UPI,677,0.7034,0.7444,0.7406,0.7846,2,0,0,RETRY,SUCCESS
training_0202,cust_0152,merchant_045,210.67,INSUFFICIENT_FUNDS,CARD,1889,0.9494,0.8360,0.6549,0.4432,4,4,0,RETRY,FAILURE
training_0203,cust_0130,merchant_001,184.35,INSUFFICIENT_FUNDS,WALLET,1217,0.7537,0.2508,0.2100,0.4408,2,1,1,REMINDER,FAILURE
training_0204,cust_0300,merchant_012,13.30,TEMPORARY_FAILURE,UPI,1374,0.3366,0.5220,0.3640,0.8481,2,0,1,REMINDER,FAILURE
training_0205,cust_0302,merchant_036,508.63,PAYMENT_METHOD_ERROR,NETBANKING,829,0.8454,0.4904,0.5932,0.5743,0,0,0,RETRY,SUCCESS
training_0206,cust_0192,merchant_001,250.22,PAYMENT_METHOD_ERROR,NETBANKING,1312,0.8608,0.6355,0.7011,0.4731,5,3,2,REMINDER,FAILURE
training_0207,cust_0219,merchant_046,757.51,UNKNOWN_FAILURE,WALLET,2361,0.3499,0.6096,0.3226,0.2602,3,3,0,REMINDER,FAILURE
training_0208,cust_0162,merchant_005,864.20,TEMPORARY_FAILURE,CARD,815,0.7246,0.3864,0.8747,0.4443,1,0,1,RETRY,SUCCESS
training_0209,cust_0303,merchant_037,155.93,INSUFFICIENT_FUNDS,NETBANKING,1415,0.8664,0.2504,0.2620,0.5467,3,0,2,REMINDER,FAILURE
training_0210,cust_0189,merchant_042,700.26,UNKNOWN_FAILURE,NETBANKING,2222,0.8520,0.0733,0.2844,0.5150,4,0,3,RETRY,FAILURE
training_0211,cust_0092,merchant_002,688.88,PAYMENT_METHOD_ERROR,CARD,2847,0.3004,0.8368,0.9430,0.2148,3,0,2,REMINDER,FAILURE
training_0212,cust_0234,merchant_007,96.92,TEMPORARY_FAILURE,CARD,310,0.4807,0.8214,0.9347,0.3260,5,1,0,RETRY,SUCCESS
training_0213,cust_0193,merchant_036,470.31,TEMPORARY_FAILURE,NETBANKING,1860,0.9224,0.7695,0.5281,0.6160,5,1,1,RETRY,FAILURE
training_0214,cust_0069,merchant_040,859.86,INSUFFICIENT_FUNDS,UPI,55,0.6037,0.2699,0.9290,0.2928,1,0,1,REMINDER,FAILURE
training_0215,cust_0316,merchant_025,486.41,INSUFFICIENT_FUNDS,WALLET,2849,0.4771,0.5926,0.5122,0.7094,0,0,0,REMINDER,FAILURE
training_0216,cust_0162,merchant_001,144.49,TEMPORARY_FAILURE,CARD,2372,0.2227,0.8780,0.6745,0.1691,0,0,0,RETRY,SUCCESS
training_0217,cust_0333,merchant_003,52.83,TEMPORARY_FAILURE,CARD,369,0.5656,0.2310,0.6857,0.0872,3,3,0,REMINDER,FAILURE
training_0218,cust_0071,merchant_031,92.57,INSUFFICIENT_FUNDS,WALLET,586,0.5162,0.6995,0.8756,0.6067,2,0,0,REMINDER,FAILURE
training_0219,cust_0079,merchant_027,676.73,TEMPORARY_FAILURE,CARD,1608,0.5278,0.8383,0.6775,0.5480,2,1,0,RETRY,FAILURE
training_0220,cust_0203,merchant_006,334.51,PAYMENT_METHOD_ERROR,CARD,430,0.1787,0.2941,0.7460,0.3110,4,1,2,RETRY,FAILURE
training_0221,cust_0147,merchant_041,316.16,UNKNOWN_FAILURE,CARD,1536,0.1877,0.6754,0.6352,0.2410,4,3,1,REMINDER,FAILURE
training_0222,cust_0333,merchant_046,864.77,PAYMENT_METHOD_ERROR,NETBANKING,2723,0.1234,0.4014,0.7965,0.1747,0,0,0,RETRY,FAILURE
training_0223,cust_0012,merchant_042,105.44,PAYMENT_METHOD_ERROR,NETBANKING,2568,0.9474,0.1606,0.1568,0.1123,3,2,1,RETRY,SUCCESS
training_0224,cust_0236,merchant_043,280.49,INSUFFICIENT_FUNDS,NETBANKING,1218,0.4565,0.8747,0.8943,0.4142,0,0,0,REMINDER,SUCCESS
training_0225,cust_0130,merchant_038,626.28,TEMPORARY_FAILURE,CARD,1517,0.4525,0.3880,0.5619,0.4441,1,0,1,REMINDER,FAILURE
training_0226,cust_0084,merchant_002,740.77,PAYMENT_METHOD_ERROR,CARD,682,0.7873,0.4377,0.7763,0.8499,5,2,0,RETRY,FAILURE
training_0227,cust_0197,merchant_004,518.12,PAYMENT_METHOD_ERROR,NETBANKING,171,0.3934,0.2698,0.2533,0.3729,4,0,0,RETRY,FAILURE
training_0228,cust_0148,merchant_007,840.32,INSUFFICIENT_FUNDS,NETBANKING,2020,0.5385,0.1410,0.9405,0.7838,2,2,0,RETRY,FAILURE
training_0229,cust_0140,merchant_035,998.64,TEMPORARY_FAILURE,UPI,1589,0.8649,0.4843,0.1310,0.5028,3,1,2,RETRY,SUCCESS
training_0230,cust_0248,merchant_011,665.92,INSUFFICIENT_FUNDS,UPI,1281,0.5975,0.2631,0.2617,0.6776,0,0,0,RETRY,FAILURE
training_0231,cust_0122,merchant_035,398.63,PAYMENT_METHOD_ERROR,NETBANKING,1827,0.9283,0.1481,0.9164,0.0637,3,1,0,REMINDER,FAILURE
training_0232,cust_0181,merchant_022,871.70,INSUFFICIENT_FUNDS,NETBANKING,861,0.5150,0.2575,0.3394,0.5944,3,3,0,RETRY,FAILURE
training_0233,cust_0285,merchant_038,621.12,PAYMENT_METHOD_ERROR,UPI,933,0.3402,0.7447,0.2380,0.6439,2,1,0,REMINDER,FAILURE
training_0234,cust_0125,merchant_030,43.14,INSUFFICIENT_FUNDS,NETBANKING,390,0.1813,0.8591,0.5679,0.7641,0,0,0,REMINDER,SUCCESS
training_0235,cust_0339,merchant_022,931.77,PAYMENT_METHOD_ERROR,WALLET,624,0.8796,0.1054,0.8673,0.8228,3,3,0,RETRY,FAILURE
training_0236,cust_0312,merchant_029,980.62,INSUFFICIENT_FUNDS,NETBANKING,2648,0.6951,0.2747,0.8949,0.7610,5,5,0,REMINDER,FAILURE
training_0237,cust_0340,merchant_048,347.64,INSUFFICIENT_FUNDS,UPI,171,0.3294,0.5231,0.4543,0.2064,3,1,1,RETRY,FAILURE
training_0238,cust_0187,merchant_039,13.30,TEMPORARY_FAILURE,UPI,538,0.2663,0.2813,0.8300,0.5797,2,1,1,REMINDER,FAILURE
training_0239,cust_0264,merchant_019,745.33,UNKNOWN_FAILURE,UPI,882,0.1178,0.5110,0.2201,0.3859,1,1,0,REMINDER,FAILURE
training_0240,cust_0299,merchant_049,739.90,PAYMENT_METHOD_ERROR,CARD,1982,0.6202,0.2477,0.3440,0.8456,5,2,3,RETRY,FAILURE
training_0241,cust_0308,merchant_042,973.41,TEMPORARY_FAILURE,NETBANKING,741,0.5045,0.7222,0.7829,0.3085,5,5,0,RETRY,SUCCESS
training_0242,cust_0262,merchant_005,637.60,TEMPORARY_FAILURE,WALLET,2125,0.5834,0.8695,0.9477,0.6906,0,0,0,REMINDER,FAILURE
training_0243,cust_0194,merchant_050,914.85,UNKNOWN_FAILURE,NETBANKING,1175,0.2440,0.3383,0.6319,0.7139,5,3,2,REMINDER,FAILURE
training_0244,cust_0344,merchant_015,389.44,UNKNOWN_FAILURE,WALLET,2591,0.2667,0.6756,0.5286,0.2634,1,1,0,RETRY,FAILURE
training_0245,cust_0023,merchant_014,929.23,UNKNOWN_FAILURE,NETBANKING,1699,0.3936,0.1073,0.6174,0.3861,1,0,1,RETRY,FAILURE
training_0246,cust_0184,merchant_027,715.96,INSUFFICIENT_FUNDS,WALLET,1523,0.8837,0.0930,0.5347,0.2226,1,0,0,RETRY,FAILURE
training_0247,cust_0326,merchant_039,388.73,TEMPORARY_FAILURE,CARD,2670,0.8894,0.5200,0.5497,0.8170,2,0,2,REMINDER,FAILURE
training_0248,cust_0141,merchant_004,684.21,UNKNOWN_FAILURE,CARD,397,0.1372,0.2741,0.5264,0.2639,0,0,0,REMINDER,FAILURE
training_0249,cust_0302,merchant_040,390.38,PAYMENT_METHOD_ERROR,NETBANKING,2519,0.2373,0.8926,0.4647,0.8144,1,1,0,REMINDER,FAILURE
training_0250,cust_0052,merchant_015,142.10,UNKNOWN_FAILURE,NETBANKING,950,0.5837,0.4174,0.2989,0.0761,1,1,0,RETRY,SUCCESS
training_0251,cust_0301,merchant_028,967.99,PAYMENT_METHOD_ERROR,NETBANKING,2614,0.4618,0.0570,0.1766,0.5590,1,0,1,REMINDER,FAILURE
training_0252,cust_0172,merchant_008,650.41,UNKNOWN_FAILURE,UPI,362,0.9114,0.4267,0.2091,0.2932,3,1,0,REMINDER,FAILURE
training_0253,cust_0008,merchant_012,950.19,TEMPORARY_FAILURE,CARD,1901,0.6575,0.1474,0.1230,0.0552,1,0,1,REMINDER,SUCCESS
training_0254,cust_0346,merchant_048,279.91,INSUFFICIENT_FUNDS,UPI,2327,0.9476,0.5244,0.1331,0.3128,1,1,0,RETRY,FAILURE
training_0255,cust_0151,merchant_022,871.62,TEMPORARY_FAILURE,UPI,163,0.1741,0.2565,0.1049,0.8204,0,0,0,REMINDER,FAILURE
training_0256,cust_0073,merchant_025,576.12,INSUFFICIENT_FUNDS,CARD,618,0.3043,0.7049,0.7140,0.3102,5,4,0,REMINDER,FAILURE
training_0257,cust_0102,merchant_008,29.19,INSUFFICIENT_FUNDS,UPI,1278,0.5925,0.6907,0.5269,0.4262,2,1,1,REMINDER,FAILURE
training_0258,cust_0336,merchant_016,749.16,PAYMENT_METHOD_ERROR,UPI,1338,0.2340,0.3892,0.5906,0.7346,5,3,1,RETRY,FAILURE
training_0259,cust_0344,merchant_032,466.23,UNKNOWN_FAILURE,WALLET,1562,0.3515,0.4007,0.8465,0.2079,0,0,0,RETRY,FAILURE
training_0260,cust_0219,merchant_006,555.89,INSUFFICIENT_FUNDS,CARD,181,0.2312,0.1166,0.3307,0.7832,2,0,0,REMINDER,FAILURE
training_0261,cust_0347,merchant_013,638.94,PAYMENT_METHOD_ERROR,NETBANKING,525,0.2851,0.2075,0.6273,0.4278,3,2,0,RETRY,SUCCESS
training_0262,cust_0082,merchant_021,355.10,INSUFFICIENT_FUNDS,WALLET,93,0.4878,0.8453,0.8509,0.4043,5,0,5,RETRY,SUCCESS
training_0263,cust_0327,merchant_011,18.56,INSUFFICIENT_FUNDS,CARD,134,0.2489,0.4013,0.6082,0.0754,3,0,0,RETRY,FAILURE
training_0264,cust_0018,merchant_040,52.87,UNKNOWN_FAILURE,WALLET,263,0.7962,0.5330,0.1707,0.4634,5,5,0,RETRY,FAILURE
training_0265,cust_0147,merchant_012,731.71,INSUFFICIENT_FUNDS,CARD,1796,0.1675,0.5382,0.8812,0.7651,2,0,1,REMINDER,FAILURE
training_0266,cust_0183,merchant_049,423.51,UNKNOWN_FAILURE,UPI,23,0.5180,0.3362,0.6775,0.0632,2,2,0,REMINDER,FAILURE
training_0267,cust_0049,merchant_046,314.83,INSUFFICIENT_FUNDS,NETBANKING,309,0.1188,0.3624,0.4985,0.8397,5,2,2,REMINDER,SUCCESS
training_0268,cust_0258,merchant_030,679.17,UNKNOWN_FAILURE,UPI,1463,0.4933,0.4440,0.3095,0.6792,0,0,0,RETRY,FAILURE
training_0269,cust_0047,merchant_026,184.24,UNKNOWN_FAILURE,CARD,2799,0.8238,0.1136,0.9299,0.7118,3,0,3,RETRY,SUCCESS
training_0270,cust_0088,merchant_048,843.31,PAYMENT_METHOD_ERROR,WALLET,2760,0.4075,0.7445,0.6375,0.8432,0,0,0,RETRY,SUCCESS
training_0271,cust_0085,merchant_038,608.36,UNKNOWN_FAILURE,NETBANKING,1117,0.5621,0.1163,0.4654,0.1364,2,1,0,REMINDER,FAILURE
training_0272,cust_0259,merchant_030,901.41,INSUFFICIENT_FUNDS,CARD,794,0.6868,0.2857,0.2220,0.8553,4,0,1,RETRY,FAILURE
training_0273,cust_0169,merchant_018,993.57,TEMPORARY_FAILURE,UPI,349,0.7488,0.0754,0.2772,0.2528,0,0,0,RETRY,FAILURE
training_0274,cust_0076,merchant_045,809.52,INSUFFICIENT_FUNDS,CARD,1800,0.6417,0.7291,0.1594,0.0598,0,0,0,RETRY,SUCCESS
training_0275,cust_0234,merchant_019,119.64,TEMPORARY_FAILURE,WALLET,98,0.5728,0.0504,0.3017,0.5389,1,0,0,REMINDER,FAILURE
training_0276,cust_0095,merchant_015,939.89,TEMPORARY_FAILURE,WALLET,816,0.5259,0.7120,0.6212,0.2781,0,0,0,RETRY,SUCCESS
training_0277,cust_0152,merchant_038,961.12,INSUFFICIENT_FUNDS,UPI,2087,0.1001,0.3443,0.3082,0.2479,2,0,1,REMINDER,FAILURE
training_0278,cust_0191,merchant_025,570.52,TEMPORARY_FAILURE,NETBANKING,2474,0.7905,0.4529,0.8922,0.4107,2,2,0,RETRY,FAILURE
training_0279,cust_0286,merchant_038,854.41,UNKNOWN_FAILURE,UPI,2188,0.5737,0.1301,0.7554,0.5504,0,0,0,RETRY,FAILURE
training_0280,cust_0305,merchant_002,644.60,TEMPORARY_FAILURE,WALLET,1149,0.7793,0.7748,0.2438,0.4587,2,2,0,REMINDER,FAILURE
training_0281,cust_0249,merchant_004,248.94,INSUFFICIENT_FUNDS,UPI,195,0.4187,0.5956,0.2646,0.7559,5,3,1,REMINDER,FAILURE
training_0282,cust_0340,merchant_009,5.62,PAYMENT_METHOD_ERROR,UPI,2044,0.6379,0.4775,0.6702,0.3402,5,5,0,RETRY,FAILURE
training_0283,cust_0004,merchant_047,802.42,INSUFFICIENT_FUNDS,WALLET,395,0.5129,0.4392,0.1035,0.8308,1,0,0,REMINDER,FAILURE
training_0284,cust_0209,merchant_013,13.32,TEMPORARY_FAILURE,CARD,1897,0.4316,0.4052,0.2520,0.4582,3,1,0,REMINDER,FAILURE
training_0285,cust_0109,merchant_044,563.91,INSUFFICIENT_FUNDS,CARD,1348,0.4471,0.8948,0.3924,0.8966,3,0,0,RETRY,SUCCESS
training_0286,cust_0225,merchant_040,960.83,INSUFFICIENT_FUNDS,NETBANKING,1959,0.2871,0.6427,0.6274,0.1428,2,0,1,RETRY,FAILURE
training_0287,cust_0008,merchant_012,299.04,INSUFFICIENT_FUNDS,CARD,805,0.6679,0.8612,0.3923,0.6017,0,0,0,RETRY,FAILURE
training_0288,cust_0107,merchant_030,510.33,INSUFFICIENT_FUNDS,UPI,2217,0.8291,0.1545,0.8597,0.5157,5,2,3,REMINDER,SUCCESS
training_0289,cust_0332,merchant_046,713.32,TEMPORARY_FAILURE,CARD,96,0.6825,0.5279,0.3834,0.1378,1,0,0,RETRY,SUCCESS
training_0290,cust_0046,merchant_009,571.98,UNKNOWN_FAILURE,NETBANKING,1183,0.5307,0.8807,0.1505,0.1474,1,1,0,REMINDER,FAILURE
training_0291,cust_0003,merchant_012,602.64,INSUFFICIENT_FUNDS,CARD,492,0.7526,0.0784,0.8994,0.3003,4,0,3,REMINDER,SUCCESS
training_0292,cust_0077,merchant_031,237.37,TEMPORARY_FAILURE,WALLET,2396,0.6195,0.6633,0.5031,0.4138,5,5,0,RETRY,SUCCESS
training_0293,cust_0214,merchant_036,550.20,UNKNOWN_FAILURE,CARD,757,0.4522,0.5311,0.8284,0.7444,4,1,1,REMINDER,FAILURE
training_0294,cust_0091,merchant_033,895.35,INSUFFICIENT_FUNDS,WALLET,1394,0.2148,0.2312,0.8774,0.0940,0,0,0,REMINDER,FAILURE
training_0295,cust_0350,merchant_011,743.12,INSUFFICIENT_FUNDS,WALLET,1386,0.7060,0.7913,0.7300,0.7538,5,0,4,REMINDER,FAILURE
training_0296,cust_0188,merchant_024,280.09,UNKNOWN_FAILURE,UPI,1006,0.8024,0.0594,0.9086,0.3892,0,0,0,REMINDER,SUCCESS
training_0297,cust_0265,merchant_032,134.05,INSUFFICIENT_FUNDS,UPI,2348,0.2507,0.7571,0.4201,0.3985,2,0,0,REMINDER,FAILURE
training_0298,cust_0012,merchant_028,961.04,PAYMENT_METHOD_ERROR,WALLET,737,0.6490,0.1259,0.4953,0.5816,2,2,0,RETRY,FAILURE
training_0299,cust_0096,merchant_017,638.64,PAYMENT_METHOD_ERROR,WALLET,1189,0.7896,0.2009,0.6212,0.8184,3,0,1,RETRY,FAILURE
training_0300,cust_0060,merchant_025,71.15,PAYMENT_METHOD_ERROR,UPI,2835,0.7713,0.3932,0.5289,0.1402,1,1,0,RETRY,FAILURE
training_0301,cust_0343,merchant_036,313.61,TEMPORARY_FAILURE,NETBANKING,2116,0.5642,0.5199,0.6593,0.5448,4,1,1,RETRY,FAILURE
training_0302,cust_0180,merchant_042,547.85,UNKNOWN_FAILURE,WALLET,2664,0.1668,0.6665,0.7714,0.1795,4,1,3,RETRY,FAILURE
training_0303,cust_0263,merchant_004,740.48,TEMPORARY_FAILURE,CARD,1147,0.7925,0.1136,0.3884,0.3970,5,0,4,RETRY,FAILURE
training_0304,cust_0038,merchant_033,680.00,PAYMENT_METHOD_ERROR,WALLET,1012,0.8435,0.6866,0.3782,0.6562,5,5,0,REMINDER,FAILURE
training_0305,cust_0238,merchant_010,149.91,TEMPORARY_FAILURE,WALLET,1812,0.2268,0.0858,0.9102,0.6711,4,1,3,RETRY,FAILURE
training_0306,cust_0032,merchant_034,791.91,TEMPORARY_FAILURE,WALLET,1903,0.2344,0.1412,0.4085,0.3173,5,0,2,REMINDER,FAILURE
training_0307,cust_0096,merchant_013,146.24,INSUFFICIENT_FUNDS,NETBANKING,1205,0.3289,0.3837,0.7909,0.1195,0,0,0,REMINDER,FAILURE
training_0308,cust_0165,merchant_022,557.49,INSUFFICIENT_FUNDS,NETBANKING,1857,0.4848,0.8887,0.2043,0.5519,3,0,2,RETRY,FAILURE
training_0309,cust_0140,merchant_003,544.47,INSUFFICIENT_FUNDS,CARD,553,0.4198,0.4649,0.2154,0.0764,1,1,0,RETRY,SUCCESS
training_0310,cust_0315,merchant_050,486.28,TEMPORARY_FAILURE,WALLET,661,0.1781,0.7439,0.6436,0.7069,4,2,0,REMINDER,FAILURE
training_0311,cust_0251,merchant_006,913.81,TEMPORARY_FAILURE,NETBANKING,2753,0.4997,0.7486,0.2098,0.1175,3,3,0,RETRY,FAILURE
training_0312,cust_0246,merchant_033,719.09,UNKNOWN_FAILURE,WALLET,1931,0.2937,0.2528,0.8170,0.4579,4,1,0,RETRY,FAILURE
training_0313,cust_0226,merchant_027,301.47,INSUFFICIENT_FUNDS,CARD,2455,0.2132,0.5406,0.9496,0.2609,0,0,0,RETRY,SUCCESS
training_0314,cust_0261,merchant_012,701.24,PAYMENT_METHOD_ERROR,NETBANKING,585,0.8259,0.1770,0.6493,0.7334,1,1,0,RETRY,SUCCESS
training_0315,cust_0127,merchant_034,753.18,PAYMENT_METHOD_ERROR,WALLET,2422,0.1505,0.3907,0.3254,0.4511,2,2,0,RETRY,SUCCESS
training_0316,cust_0122,merchant_022,602.37,UNKNOWN_FAILURE,CARD,1511,0.8401,0.7809,0.4066,0.2687,1,0,0,RETRY,FAILURE
training_0317,cust_0320,merchant_045,689.62,TEMPORARY_FAILURE,WALLET,1622,0.4797,0.3033,0.2279,0.0508,0,0,0,REMINDER,FAILURE
training_0318,cust_0271,merchant_040,345.99,INSUFFICIENT_FUNDS,WALLET,1120,0.4502,0.8571,0.3514,0.3400,0,0,0,REMINDER,SUCCESS
training_0319,cust_0131,merchant_009,955.59,INSUFFICIENT_FUNDS,WALLET,2235,0.3777,0.3955,0.4192,0.4538,4,4,0,REMINDER,FAILURE
training_0320,cust_0269,merchant_007,21.72,UNKNOWN_FAILURE,CARD,507,0.6582,0.8743,0.1242,0.3798,2,1,1,RETRY,FAILURE
training_0321,cust_0315,merchant_047,826.20,UNKNOWN_FAILURE,NETBANKING,114,0.2277,0.4700,0.1505,0.8074,4,2,2,REMINDER,FAILURE
training_0322,cust_0258,merchant_020,562.39,PAYMENT_METHOD_ERROR,WALLET,1218,0.5313,0.2545,0.2023,0.7168,4,2,1,REMINDER,FAILURE
training_0323,cust_0196,merchant_013,901.39,INSUFFICIENT_FUNDS,CARD,1001,0.9297,0.8079,0.3643,0.8709,0,0,0,RETRY,SUCCESS
training_0324,cust_0290,merchant_011,48.55,UNKNOWN_FAILURE,NETBANKING,2028,0.7707,0.1472,0.6795,0.8251,2,0,2,REMINDER,FAILURE
training_0325,cust_0260,merchant_014,271.03,UNKNOWN_FAILURE,CARD,366,0.8070,0.3678,0.6519,0.5159,3,0,2,REMINDER,FAILURE
training_0326,cust_0302,merchant_030,354.95,UNKNOWN_FAILURE,WALLET,1914,0.1117,0.1514,0.6778,0.7734,5,5,0,REMINDER,FAILURE
training_0327,cust_0346,merchant_039,719.38,PAYMENT_METHOD_ERROR,WALLET,701,0.7049,0.3328,0.5352,0.7217,2,0,2,RETRY,SUCCESS
training_0328,cust_0338,merchant_040,653.68,TEMPORARY_FAILURE,NETBANKING,1809,0.5654,0.1423,0.5725,0.7486,4,1,3,REMINDER,FAILURE
training_0329,cust_0025,merchant_018,843.25,PAYMENT_METHOD_ERROR,WALLET,2409,0.2735,0.8395,0.8836,0.2347,4,4,0,RETRY,FAILURE
training_0330,cust_0110,merchant_033,908.90,UNKNOWN_FAILURE,UPI,2053,0.7355,0.2221,0.9424,0.8309,3,1,2,RETRY,FAILURE
training_0331,cust_0186,merchant_025,407.97,PAYMENT_METHOD_ERROR,NETBANKING,66,0.7965,0.6743,0.2199,0.8992,3,3,0,RETRY,FAILURE
training_0332,cust_0127,merchant_033,214.45,PAYMENT_METHOD_ERROR,UPI,742,0.7401,0.5830,0.3537,0.1752,4,1,3,RETRY,FAILURE
training_0333,cust_0064,merchant_027,267.65,INSUFFICIENT_FUNDS,WALLET,2484,0.4983,0.0980,0.1444,0.3988,2,2,0,RETRY,FAILURE
training_0334,cust_0112,merchant_002,390.51,UNKNOWN_FAILURE,NETBANKING,2870,0.1797,0.8432,0.4010,0.0835,3,2,1,RETRY,FAILURE
training_0335,cust_0136,merchant_028,512.98,PAYMENT_METHOD_ERROR,UPI,1470,0.2109,0.7070,0.4884,0.1487,0,0,0,REMINDER,FAILURE
training_0336,cust_0107,merchant_029,267.77,INSUFFICIENT_FUNDS,CARD,1278,0.1316,0.3645,0.5909,0.3311,5,3,2,RETRY,FAILURE
training_0337,cust_0271,merchant_027,431.71,PAYMENT_METHOD_ERROR,UPI,67,0.9473,0.3675,0.4921,0.2213,0,0,0,RETRY,FAILURE
